1917	
	(0.1403433245,0)	(0.2194026779,0)	(-0.1287811253,0)	(-0.1630657212,0)	(-0.02508206051,0)
	(-3.299565737,0)	(-4.432876928,0)	(0.1518645718,0)	(-2.399266473,0)	(-1.217646521,0)
	(-0.08958526306,0)	(-0.1777964164,0)	(0.3418010677,0)	(-0.001714240383,0)	(0.3820654903,0)
	(0.425810798,0)	(-0.7751610477,0)	(0.4514401365,0)	(-3.342272361,0)	(-6.837024447,0)
	(-5.744228027,0)	(-0.07335696741,0)	(-0.06395106964,0)	(-0.05285158168,0)	(0.1788198462,0)
	(0.3377169318,0)	(-0.2130190807,0)	(-0.2494710306,0)	(0.3992870974,0)	(0.0714798455,0)
	(0.2221061776,0)	(0.09384977718,0)	(-0.1029044211,0)	(-2.058294452,0)	(-2.642064452,0)
	(0.3987914242,0)	(-1.832408347,0)	(0.3292861113,0)	(-0.8603956131,0)	(0.024487543,0)
	(-0.2774639477,0)	(-0.05913975999,0)	(-0.4846009149,0)	(-0.3701263854,0)	(0.1734312207,0)
	(-0.3279702939,0)	(-5.638294255,0)	(-3.863864691,0)	(0.8547789183,0)	(1.992426034,0)
	(7.582051718,0)	(-6.915668573,0)	(3.247956998,0)	(13.77379309,0)	(0.06651392395,0)
	(0.0141431536,0)	(0.05507519579,0)	(-0.08767322977,0)	(0.1098053863,0)	(0.2914087776,0)
	(0.1284708564,0)	(0.3463755644,0)	(-0.0697905795,0)	(0.4916179815,0)	(0.1834950121,0)
	(-0.1231430461,0)	(-0.05592292628,0)	(0.05008818164,0)	(-2.298328934,0)	(-1.661639917,0)
	(-1.001264448,0)	(-0.2259104236,0)	(-0.08102665965,0)	(-0.162069688,0)	(0.2881963765,0)
	(0.2481156839,0)	(-0.1383496014,0)	(0.4924849365,0)	(1.379832131,0)	(-3.062929321,0)
	(-6.159732393,0)	(-7.753357362,0)	(0.8072414427,0)	(-15.86701382,0)	(-9.200514179,0)
	(-7.170372022,0)	(4.124112761,0)	(0.09968022023,0)	(0.04598934784,0)	(0.08646291282,0)
	(0.04975098339,0)	(0.1657696623,0)	(0.1412538698,0)	(0.3083927513,0)	(-0.06148741903,0)
	(0.3337968097,0)	(0.2219779646,0)	(-0.2844541044,0)	(-0.3975456357,0)	(0.05457466939,0)
	(-0.1426900323,0)	(-0.1160282188,0)	(0.5577643863,0)	(-1.39985203,0)	(0.3191327522,0)
	(-1.023453279,0)	(-0.7323402869,0)	(0.199095796,0)	(-0.1920500893,0)	(-0.3851121864,0)
	(-0.01405699139,0)	(-0.4056261995,0)	(0.5196981888,0)	(0.1154701966,0)	(-3.624698592,0)
	(1.258110187,0)	(-4.39292759,0)	(-7.710617445,0)	(1.901369252,0)	(-5.816564006,0)
	(-7.874022861,0)	(-18.97559869,0)	(-8.548837689,0)	(-6.062343069,0)	(0.08749848233,0)
	(-0.06030667375,0)	(0.175090878,0)	(-0.1845133197,0)	(0.05954807758,0)	(0.3174782289,0)
	(0.05987509754,0)	(0.4654149474,0)	(0.1082179197,0)	(0.146152425,0)	(-0.1240891727,0)
	(0.03959181933,0)	(0.03932479702,0)	(0.1468314895,0)	(0.03244037222,0)	(-2.066601125,0)
	(-1.477870284,0)	(0.9860542593,0)	(0.001888415675,0)	(-0.3006212028,0)	(-0.1996437579,0)
	(-0.4414841837,0)	(1.042009167,0)	(-1.724521087,0)	(-4.07300057,0)	(-5.02960849,0)
	(1.161951762,0)	(-6.416733121,0)	(-6.731106058,0)	(-6.874078726,0)	(-20.92598422,0)
	(-2.290527082,0)	(0.03445082403,0)	(0.1327972075,0)	(0.1669216127,0)	(0.2917916673,0)
	(0.2011212402,0)	(-0.1852622641,0)	(-0.1274305941,0)	(0.3860438732,0)	(0.03489382923,0)
	(-0.1403205587,0)	(-0.05365768396,0)	(-0.1048206313,0)	(0.4318881294,0)	(-1.505166817,0)
	(0.3416132317,0)	(-1.042349415,0)	(-0.5413077425,0)	(-0.2070135798,0)	(0.4445289019,0)
	(0.3027659082,0)	(-0.4594817654,0)	(-3.229865481,0)	(1.048939751,0)	(-3.298201075,0)
	(-4.952289898,0)	(-1.912366997,0)	(-2.126457416,0)	(-7.041268099,0)	(-14.23977192,0)
	(2.767568314,0)	(19.80367136,0)	(-0.04086322818,0)	(0.09750052768,0)	(0.375729289,0)
	(0.1633971684,0)	(0.0405004433,0)	(0.2262734603,0)	(0.1218028358,0)	(-0.1252389818,0)
	(0.1308601583,0)	(0.03552901542,0)	(0.09849007838,0)	(0.02286936764,0)	(-1.889846665,0)
	(1.236741664,0)	(-0.6268326628,0)	(0.02149991235,0)	(-0.3766434892,0)	(-1.659524708,0)
	(0.768589055,0)	(-2.502218294,0)	(-1.953330058,0)	(-1.643576002,0)	(-5.413402825,0)
	(-2.051196668,0)	(-7.995928004,0)	(4.30490145,0)	(-2.365550941,0)	(-15.25698875,0)
	(-9.531895714,0)	(-11.03636524,0)	(-39.14660449,0)	(-9.881577846,0)	(0.07035090514,0)
	(0.0359990489,0)	(0.114390874,0)	(0.2357512185,0)	(0.2676655726,0)	(0.1846249452,0)
	(-0.1712619108,0)	(0.02070766742,0)	(0.3871212018,0)	(0.02300725435,0)	(-0.1450386946,0)
	(-0.005796725439,0)	(-0.1037218151,0)	(0.3392014893,0)	(-1.251059426,0)	(-0.5446698347,0)
	(0.3689037382,0)	(-0.1501323393,0)	(0.414954651,0)	(-2.796000064,0)	(-3.521357308,0)
	(-5.60249535,0)	(1.715519882,0)	(-3.231452231,0)	(-5.969593094,0)	(-2.154926914,0)
	(-2.519211793,0)	(5.735759195,0)	(-13.6322381,0)	(22.25441716,0)	(12.11334298,0)
	(-32.44575485,0)	(-15.96188408,0)	(-20.82457875,0)	(-0.004361460739,0)	(0.09204938384,0)
	(0.163374613,0)	(0.3554274674,0)	(0.03463368053,0)	(0.213742513,0)	(0.09178344684,0)
	(-0.1426882822,0)	(0.1230643149,0)	(0.0106943807,0)	(0.1090355248,0)	(0.007994574639,0)
	(-40.41549079,0)	(11.19894144,0)	(-1.231806877,0)	(-0.7439279883,0)	(-0.3925354101,0)
	(-0.03548004458,0)	(-1.031584216,0)	(0.7850453956,0)	(1.564388402,0)	(-1.82455993,0)
	(-1.895463947,0)	(-3.424613038,0)	(-7.406603959,0)	(-13.98077,0)	(-6.765206861,0)
	(-3.36063837,0)	(-12.54251617,0)	(-5.755663376,0)	(-14.22748639,0)	(3.478106449,0)
	(0.07240255745,0)	(0.2041477298,0)	(0.1016879837,0)	(0.2581384213,0)	(0.02909816263,0)
	(0.1863864078,0)	(-0.1856632367,0)	(0.01297739901,0)	(-0.3776612937,0)	(0.0137954087,0)
	(-0.1578515583,0)	(-0.005727474274,0)	(-0.1139300949,0)	(-20.97629677,0)	(-0.6875723482,0)
	(0.3657019911,0)	(-0.2076791039,0)	(0.3817266446,0)	(-1.349251898,0)	(-3.546640906,0)
	(-3.286069344,0)	(-3.139270056,0)	(-2.996275816,0)	(-2.958246171,0)	(-8.287468506,0)
	(-16.93691382,0)	(-8.86071915,0)	(4.239902406,0)	(-20.55326317,0)	(-12.72028883,0)
	(-18.32303853,0)	(-10.29449912,0)	(-0.01775461609,0)	(0.08208021316,0)	(0.3199375681,0)
	(0.1612954463,0)	(0.008759556752,0)	(-0.2138037225,0)	(0.0748613753,0)	(-0.1368973743,0)
	(0.1280454087,0)	(2.870876508e-05,0)	(0.1213813794,0)	(-0.01285584727,0)	(-37.54465078,0)
	(-0.9647226401,0)	(-0.4610906747,0)	(0.001537401033,0)	(-0.5329282349,0)	(0.2703886214,0)
	(0.9628522445,0)	(0.9403729261,0)	(-1.016166498,0)	(1.452334171,0)	(-1.73332064,0)
	(-4.40346751,0)	(-5.684395801,0)	(-8.094739442,0)	(-4.120740833,0)	(-19.88847672,0)
	(-6.624053026,0)	(-6.168562928,0)	(0.07253171453,0)	(0.02285754129,0)	(0.2144838048,0)
	(0.1142638213,0)	(-0.2381548276,0)	(0.1794491696,0)	(-0.2025499644,0)	(-0.02035299895,0)
	(-0.382719199,0)	(-0.002897001874,0)	(-0.1774027842,0)	(-0.003990766822,0)	(0.1189346917,0)
	(-8.763219945,0)	(-26.31450369,0)	(-12.62698304,0)	(-11.56612574,0)	(-0.3074098079,0)
	(0.4951190205,0)	(-0.9812592477,0)	(0.01157381819,0)	(-1.112056909,0)	(-1.997142411,0)
	(-0.1197685305,0)	(-3.283403101,0)	(-3.714684216,0)	(-0.3683602838,0)	(-7.625384277,0)
	(-9.365190215,0)	(0.1861942315,0)	(-13.36016991,0)	(-7.206343795,0)	(-10.68794261,0)
	(-0.03047692632,0)	(0.06422218289,0)	(0.147972312,0)	(0.3086406022,0)	(0.02921371393,0)
	(-0.2037843644,0)	(0.04902945421,0)	(0.1274930487,0)	(-0.1422107142,0)	(0.001291968583,0)
	(-0.101642961,0)	(-0.02472871135,0)	(-46.46935289,0)	(-23.30153547,0)	(0.01096800985,0)
	(-0.5239988778,0)	(-1.028949047,0)	(1.140981729,0)	(-0.0431213734,0)	(1.281516393,0)
	(0.2480025151,0)	(-1.824567192,0)	(-6.687051945,0)	(-5.203388858,0)	(-2.54240078,0)
	(-5.592037359,0)	(-4.513594051,0)	(0.07318080166,0)	(0.01696607647,0)	(0.2051897604,0)
	(0.2343238363,0)	(0.2208432811,0)	(-0.1966099623,0)	(-0.02313262101,0)	(0.3763799144,0)
	(-0.01977792027,0)	(-0.09353762268,0)	(0.08479743129,0)	(0.0655228038,0)	(0.1111677496,0)
	(0.1158003088,0)	(-32.17442557,0)	(-9.67086364,0)	(-12.34677537,0)	(-17.3618325,0)
	(-14.28531977,0)	(0.7995571728,0)	(0.7917375687,0)	(0.0280523163,0)	(-0.6141189106,0)
	(-1.007116285,0)	(-2.319434696,0)	(3.008484626,0)	(2.916704944,0)	(-1.971203178,0)
	(4.196202575,0)	(-8.051798435,0)	(4.951305241,0)	(-8.019919567,0)	(-0.04326613246,0)
	(0.05495680709,0)	(-0.1465843045,0)	(0.2780706942,0)	(0.02031296355,0)	(0.2065654374,0)
	(0.1598854995,0)	(0.03663880123,0)	(0.1143423128,0)	(0.1390887811,0)	(-0.02590748049,0)
	(-0.05492823063,0)	(-0.0371548354,0)	(-47.68955102,0)	(-23.92875661,0)	(-6.7403599,0)
	(0.1776221836,0)	(-0.6491416808,0)	(-1.559880221,0)	(-0.2291536738,0)	(1.418417375,0)
	(-2.096446183,0)	(-5.256991176,0)	(-2.66972894,0)	(3.316819353,0)	(-4.05724425,0)
	(-6.140585215,0)	(-35.36098227,0)	(0.07441176342,0)	(0.01110938042,0)	(0.2039176171,0)
	(0.197889069,0)	(0.2175107849,0)	(-0.05645991662,0)	(0.02281897538,0)	(-0.3862946765,0)
	(-0.02809247858,0)	(0.1361178649,0)	(0.07350520012,0)	(0.1148987704,0)	(-0.156854275,0)
	(0.09934396498,0)	(0.1348879711,0)	(-16.99363057,0)	(-8.3114793,0)	(3.180038613,0)
	(-14.8738893,0)	(5.741841875,0)	(-7.658015397,0)	(-0.2726193819,0)	(0.9401778301,0)
	(-1.168649377,0)	(-2.753327564,0)	(1.581717834,0)	(-1.116653481,0)	(-5.33890415,0)
